Salesforce,1457,
AWS,15927,
Azure,7267,
Linux,31859,
Firebase,9575,
Google Home,892,
Arduino,7006,
Windows Desktop or Server,23393,
Heroku,6913,
Amazon Echo,1938,
iOS,10201,
Mac OS,11822,
Serverless,2987,
Android,19157,
WordPress,10486,
Drupal,10486,
Google Cloud Platform/App Engine,5302,
Raspberry Pi,10509
SharePoint,1766,
IBM Cloud or Watson,950,
Mainframe,533,
Apple Watch or Apple TV,1266
ESP8266,1466,
Gaming console,850,
Predix,110,
Windows Phone,1800,
