Zend,299
Komodo,431
Vim,19477
Visual Studio Code,26280
IPython / Jupyter,5602
Sublime Text,21810
TextMate,808
Visual Studio,52150
Notepad++,25755
IntelliJ,18765
PyCharm,19027
Atom,13576
Eclipse,14213
NetBeans,6150
Android Studio,14558
Coda,487
Xcode,7986
PHPStorm,6753
RStudio,2503
Emacs,3081
RubyMine,1202
Light Table,148
