PlatformWorkedWith
AWS;Azure;Linux;Firebase
Linux
NA
Azure
Arduino;Windows Desktop or Server
Linux
Linux
Azure;Heroku
Amazon Echo;AWS;iOS;Linux;Mac OS;Serverless
NA
NA
NA
NA
Linux
Windows Desktop or Server
NA
NA
Linux;Windows Desktop or Server
NA
NA
Android;AWS;iOS;Linux;Mac OS;Firebase
Linux;Mac OS;Windows Desktop or Server
Linux;Mac OS;Windows Desktop or Server
NA
Android;iOS;Firebase
Android;Linux
NA
Azure
NA
Amazon Echo;Mac OS;WordPress;Firebase
Linux
Android;AWS;Heroku;iOS;Linux;Mac OS;Firebase
Drupal;iOS;WordPress
NA
Android;AWS;Azure;Google Cloud Platform/App Engine;Serverless
Linux
AWS;Linux;Mac OS;Serverless
Android;Raspberry Pi
NA
AWS;Linux
iOS;Mac OS
NA
Windows Desktop or Server
Arduino
Android;Firebase
WordPress
Amazon Echo;AWS;Linux
NA
Android;Arduino;iOS;Windows Desktop or Server;WordPress
Linux;Mac OS
NA
Azure;Windows Desktop or Server
NA
AWS;Linux;Windows Desktop or Server
NA
Arduino;Linux;Windows Desktop or Server
NA
Android;Arduino;Heroku;Linux;Raspberry Pi
Linux
NA
iOS;Linux;Raspberry Pi;Windows Desktop or Server;WordPress
SharePoint;WordPress
IBM Cloud or Watson
AWS;WordPress
AWS;Heroku
Windows Desktop or Server
NA
NA
NA
Windows Desktop or Server
Linux
NA
Android;iOS;Linux
Linux
iOS
Windows Desktop or Server
WordPress
NA
Android;Heroku;Mainframe;Firebase
Windows Desktop or Server
Heroku
Linux;Windows Desktop or Server
Android;iOS;Raspberry Pi;Firebase
Android;WordPress;Firebase
Android;AWS;Heroku;iOS;Linux;WordPress;Firebase
AWS
Firebase
NA
NA
NA
Arduino;Linux;Raspberry Pi;Windows Desktop or Server
Android;Arduino;Linux;Raspberry Pi;Windows Desktop or Server
NA
Android;iOS
NA
NA
AWS;iOS;Linux;Mac OS
NA
NA
Android;iOS;Linux
Heroku;Firebase
NA
NA
Android;IBM Cloud or Watson;Mainframe;Serverless
Linux
iOS
Android
NA
Azure;iOS;SharePoint
NA
Windows Desktop or Server
Arduino;AWS;Linux;Mac OS;Raspberry Pi
Amazon Echo;Android;Arduino;Windows Desktop or Server
Azure;Windows Desktop or Server
Apple Watch or Apple TV;iOS;Mac OS
Android;AWS;iOS;Linux;Mac OS
NA
Amazon Echo;Android;AWS;Raspberry Pi
NA
NA
Windows Desktop or Server
NA
NA
Android;Firebase
AWS;Linux;Mac OS
AWS
AWS;Linux
Mac OS;Windows Desktop or Server
Azure
Linux
Android;Arduino;AWS;Linux;Raspberry Pi
Heroku
Android;Linux;Raspberry Pi
Android
AWS
NA
Android;Azure;iOS
NA
NA
Android;iOS
Amazon Echo;Apple Watch or Apple TV;Arduino;Raspberry Pi
Android;Linux;Windows Desktop or Server;WordPress
AWS;Linux
Linux;Mac OS
NA
Linux
Azure;Windows Desktop or Server
NA
NA
Amazon Echo;AWS;WordPress;Firebase
WordPress
Android;WordPress
Linux
Android;iOS
NA
Linux;Mac OS;Windows Desktop or Server
NA
Android;iOS;Windows Desktop or Server
Windows Desktop or Server
ESP8266;Windows Desktop or Server
Android;Arduino;ESP8266;Linux;Windows Desktop or Server
Android;Heroku;iOS;WordPress;Firebase
AWS;WordPress;Firebase
NA
Android;iOS;Windows Desktop or Server
NA
Google Cloud Platform/App Engine;Linux
Android;Linux;Mac OS;SharePoint;Windows Desktop or Server;WordPress;Firebase
AWS;Gaming console;Linux;Mac OS;Windows Desktop or Server
Arduino;Linux;Raspberry Pi;Windows Desktop or Server
NA
NA
NA
AWS;Drupal;Linux;Mac OS;Windows Desktop or Server;WordPress
NA
WordPress;Firebase
NA
NA
Android;Arduino;AWS;iOS;Linux
Android;Linux
NA
Linux;Mac OS;SharePoint
AWS;Linux
NA
Android;Arduino;iOS;Linux;Raspberry Pi;Windows Desktop or Server
Android;Google Cloud Platform/App Engine;Linux;WordPress;Firebase
Android;Windows Desktop or Server;Firebase
Linux;Mac OS;Raspberry Pi;Windows Desktop or Server
Android;Azure;iOS;Firebase
NA
AWS;Linux
Arduino;ESP8266;Linux;Raspberry Pi
NA
Android;Firebase
NA
Android;iOS
NA
AWS;Drupal;Linux;Mac OS
Android;iOS
AWS;Linux;Mac OS;Serverless
Windows Desktop or Server
Arduino;Linux;Windows Desktop or Server
Raspberry Pi
Linux;Mac OS;Windows Desktop or Server
Windows Desktop or Server
Windows Desktop or Server
NA
Apple Watch or Apple TV;iOS;Firebase
Google Cloud Platform/App Engine;Heroku;Linux;Mac OS;WordPress
NA
Heroku;Linux;WordPress;Firebase
AWS;Windows Desktop or Server
Android;Linux;WordPress
AWS;Azure;Linux;Mac OS
NA
Android;Linux;Mac OS
Android;Windows Desktop or Server
NA
Mainframe;SharePoint;Windows Desktop or Server
Amazon Echo;Android;Arduino;Mac OS;Mainframe;Predix;WordPress
NA
Android;Linux;Firebase
NA
NA
NA
Drupal;Google Cloud Platform/App Engine
AWS
NA
AWS;Azure
Android;AWS;Azure;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server
Linux;Windows Desktop or Server
Android;Linux;Mac OS
NA
SharePoint;Windows Desktop or Server
Android;Windows Desktop or Server;Windows Phone
Amazon Echo;Arduino;AWS;ESP8266;Heroku;Linux;Serverless
Linux
NA
AWS;Linux;Mac OS;Salesforce
NA
Firebase
Linux;WordPress
WordPress
Android;iOS
AWS;Linux
NA
AWS;Windows Desktop or Server
Linux;Raspberry Pi
NA
AWS;Google Cloud Platform/App Engine;Heroku
Mac OS;Windows Desktop or Server
Heroku
