UserId,name,Technical_skills_socre,Communication_skills_socre,experience_on_stackoverflow_profile_usage_socre,Popularity_among_the_other_users_socre,releventness_to_jobadd,final_score,job
588742.0,prasad,-0.22961783417196924,1.1087621630087459,2.0522146633905045,0.12826341646190653,0.9299999456000044,0.5804574221844998,SSE
733287.0,kanishka,1.1448693434506025,0.9262081832728692,2.7536214266257213,0.17210133916410758,0.945833224333342,0.6614751137709465,SSE
738438.0,rukmal,0.24420187889010303,0.9726913918760106,2.714285714471574,0.1696428571544734,0.8199999344000052,0.564747961252537,SSE
754625.0,damith,-0.2990655897890356,0.924023466759703,1.7250188967175968,0.1078136810448498,0.8857142091428634,0.535603914184002,SSE
757634.0,jayanga,-0.31302535484817123,0.9661188637010014,2.7877119757427624,0.17423199848392265,0.9249998860000092,0.5989164517954579,SSE
801448.0,supun,-0.8035944129682818,1.0500877231542418,3.1081632652574447,0.1942602040785903,0.8666665906666726,0.5672546832398266,SSE
1131986.0,jerad,-0.46578741438398896,1.404338802735458,2.14582560262128,0.13411410016383,0.929999925600006,0.5864524568051569,SSE
1179865.0,awad,-0.3721227845090736,0.9311524404120832,2.4193877547295344,0.1512117346705959,0.9062499675000026,0.5712241967803084,SSE
1455919.0,chinthaka,-0.22119215324087005,1.0673723912075272,1.7863726139999103,0.1116482883749944,0.9999998600000112,0.6035546900128947,SSE
1716859.0,thilina,-0.28161739188266127,0.74810561250922,3.2705882352,0.2044117647,0.9111110071111196,0.6042909081037318,SSE
1783157.0,dilani,-0.12797574958829847,0.19078216654573704,0.0,0.0,0.9999999400000048,0.5023700234700944,SSE
1894198.0,tharindu_galappatti,-0.13984444123336406,1.3445313743557248,1.8962301587985655,0.11851438492491034,0.9535713037142958,0.5982736321154813,SSE
2458494.0,kithmal,0.0,0.11725089256734825,1.6,0.1,0.0,0.06857550537989994,SSE
3037363.0,kasun,-0.4601715497330485,1.0084742541649854,1.6689601553730709,0.10431000971081693,0.999999900000008,0.5876064733779597,SSE
3452102.0,praneeth,-0.6526610293439148,1.1639912648645308,2.000941915530588,0.12505886972066174,0.8583332513333398,0.5286885509788157,SSE
3796605.0,lilan,-0.3097765525697873,1.5052874480610006,2.5190670557336974,0.1574416909833561,1.0,0.6461139487625761,SSE
3844510.0,tharindu,-0.2455836302079158,1.1695362607478212,2.651197908022043,0.1656998692513777,0.8928570285714378,0.5875926806182973,SSE
3956150.0,anushka,-0.2315813751758341,0.8956331979123062,1.4188247712260147,0.08867654820162592,0.9999999200000064,0.5819453615911018,SSE
4604436.0,sameera,-0.7084061460023184,1.0860797104466446,2.3369407376254703,0.1460587961015919,0.9999999200000064,0.6079498882328858,SSE
4914953.0,amith,0.05897435897435897,0.0,0.0,0.0,0.0,0.0022254475084663764,SSE
5368669.0,channa,-0.4153729833111872,1.342825947256589,2.9667285097610527,0.1854205318600658,0.9423076446153884,0.6251010678007705,SSE
6164611.0,nirojan,-0.2015056876993657,0.9906735025817828,1.5030788176880587,0.09394242610550367,0.8857142091428634,0.5329019747101479,SSE
6426617.0,keshan,-0.29876605393662553,0.995886586262691,1.7296843905642656,0.1081052744102666,0.9624999230000062,0.5769069500773841,SSE
9550897.0,nesaratnam,0.06666666666666668,0.0,0.0,0.0,0.0,0.002515723270440252,SSE
